Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,without concrete shoulders,80,15,150,0.2,0.6077,2.6871
Single,without concrete shoulders,80,15,150,0.25,0.7184,1.8984
Single,without concrete shoulders,80,15,150,0.3,0.8237,1.4677
Single,without concrete shoulders,80,15,150,0.35,0.9247,1.2063
Single,without concrete shoulders,80,15,150,0.4,1.0221,1.0352
Single,without concrete shoulders,80,15,300,0.15,0.4119,4.0644
Single,without concrete shoulders,80,15,300,0.2,0.511,2.6101
Single,without concrete shoulders,80,15,300,0.25,0.6041,1.9418
Single,without concrete shoulders,80,15,300,0.3,0.6927,1.5825
Single,without concrete shoulders,80,15,300,0.35,0.7775,1.3687
Single,without concrete shoulders,80,15,300,0.4,0.8594,1.2323
Single,without concrete shoulders,80,20,40,0.15,0.6816,4.7208
Single,without concrete shoulders,80,20,40,0.2,0.8457,2.8054
Single,without concrete shoulders,80,20,40,0.25,0.9998,1.914
Single,without concrete shoulders,80,20,40,0.3,1.1463,1.426
Single,without concrete shoulders,80,20,40,0.35,1.2867,1.1288
Single,without concrete shoulders,80,20,40,0.4,1.4223,0.9335
Single,without concrete shoulders,80,20,80,0.15,0.5731,4.743
Single,without concrete shoulders,80,20,80,0.2,0.7111,2.831
Single,without concrete shoulders,80,20,80,0.25,0.8407,1.9425
Single,without concrete shoulders,80,20,80,0.3,0.9639,1.4573
Single,without concrete shoulders,80,20,80,0.35,1.082,1.1626
Single,without concrete shoulders,80,20,80,0.4,1.196,0.9697
Single,without concrete shoulders,80,20,150,0.15,0.4898,4.6129
Single,without concrete shoulders,80,20,150,0.2,0.6077,2.9151
Single,without concrete shoulders,80,20,150,0.25,0.7184,2.1264
Single,without concrete shoulders,80,20,150,0.3,0.8237,1.6957
Single,without concrete shoulders,80,20,150,0.35,0.9247,1.4343
Single,without concrete shoulders,80,20,150,0.4,1.0221,1.2632
Single,without concrete shoulders,80,20,300,0.15,0.4119,4.3569
Single,without concrete shoulders,80,20,300,0.2,0.511,2.9026
Single,without concrete shoulders,80,20,300,0.25,0.6041,2.2343
Single,without concrete shoulders,80,20,300,0.3,0.6927,1.875
Single,without concrete shoulders,80,20,300,0.35,0.7775,1.6612
Single,without concrete shoulders,80,20,300,0.4,0.8594,1.5248
Single,without concrete shoulders,120,0,40,0.15,0.6816,6.3025
Single,without concrete shoulders,120,0,40,0.2,0.8457,3.4352
Single,without concrete shoulders,120,0,40,0.25,0.9998,2.1032
Single,without concrete shoulders,120,0,40,0.3,1.1463,1.3759
Single,without concrete shoulders,120,0,40,0.35,1.2867,0.9344
Single,without concrete shoulders,120,0,40,0.4,1.4223,0.6455
Single,without concrete shoulders,120,0,80,0.15,0.5731,6.3247
Single,without concrete shoulders,120,0,80,0.2,0.7111,3.4608
Single,without concrete shoulders,120,0,80,0.25,0.8407,2.1318
Single,without concrete shoulders,120,0,80,0.3,0.9639,1.4072
Single,without concrete shoulders,120,0,80,0.35,1.082,0.9682
Single,without concrete shoulders,120,0,80,0.4,1.196,0.6816
Single,without concrete shoulders,120,0,150,0.15,0.4898,5.6334
Single,without concrete shoulders,120,0,150,0.2,0.6077,3.0901
Single,without concrete shoulders,120,0,150,0.25,0.7184,1.9101
Single,without concrete shoulders,120,0,150,0.3,0.8237,1.2668
Single,without concrete shoulders,120,0,150,0.35,0.9247,0.8773
Single,without concrete shoulders,120,0,150,0.4,1.0221,0.623
Single,without concrete shoulders,120,0,300,0.15,0.4119,4.8621
Single,without concrete shoulders,120,0,300,0.2,0.511,2.6749
Single,without concrete shoulders,120,0,300,0.25,0.6041,1.6674
Single,without concrete shoulders,120,0,300,0.3,0.6927,1.1238
Single,without concrete shoulders,120,0,300,0.35,0.7775,0.7989
Single,without concrete shoulders,120,0,300,0.4,0.8594,0.5904
Single,without concrete shoulders,120,10,40,0.15,0.6816,6.5995
Single,without concrete shoulders,120,10,40,0.2,0.8457,3.7322
Single,without concrete shoulders,120,10,40,0.25,0.9998,2.4002
Single,without concrete shoulders,120,10,40,0.3,1.1463,1.6729
Single,without concrete shoulders,120,10,40,0.35,1.2867,1.2314
Single,without concrete shoulders,120,10,40,0.4,1.4223,0.9425
Single,without concrete shoulders,120,10,80,0.15,0.5731,6.6217
Single,without concrete shoulders,120,10,80,0.2,0.7111,3.7578
Single,without concrete shoulders,120,10,80,0.25,0.8407,2.4288
Single,without concrete shoulders,120,10,80,0.3,0.9639,1.7042
Single,without concrete shoulders,120,10,80,0.35,1.082,1.2652
Single,without concrete shoulders,120,10,80,0.4,1.196,0.9786
Single,without concrete shoulders,120,10,150,0.15,0.4898,6.0894
Single,without concrete shoulders,120,10,150,0.2,0.6077,3.5461
Single,without concrete shoulders,120,10,150,0.25,0.7184,2.3661
Single,without concrete shoulders,120,10,150,0.3,0.8237,1.7228
Single,without concrete shoulders,120,10,150,0.35,0.9247,1.3333
Single,without concrete shoulders,120,10,150,0.4,1.0221,1.079
Single,without concrete shoulders,120,10,300,0.15,0.4119,5.4471
Single,without concrete shoulders,120,10,300,0.2,0.511,3.2599
Single,without concrete shoulders,120,10,300,0.25,0.6041,2.2524
Single,without concrete shoulders,120,10,300,0.3,0.6927,1.7088
Single,without concrete shoulders,120,10,300,0.35,0.7775,1.3839
Single,without concrete shoulders,120,10,300,0.4,0.8594,1.1754
